"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CORO1B",3.44452132853127e-10,1.42450328982298,0.276,0.117,1.12766739253457e-05
"S100A11",3.89763685029419e-25,1.2987399416382,0.564,0.245,1.27600835204931e-20
"DOK2",4.26854462921506e-10,1.28481681413388,0.265,0.109,1.39743614071243e-05
"OPTN",1.51041218618266e-08,1.25144391571765,0.258,0.117,0.000494478741512479
"ARHGDIA",8.79808774383211e-11,1.24351366427631,0.343,0.163,2.88031796557576e-06
"HN1",8.95638300440311e-12,1.23079346488065,0.27,0.097,2.93214066798149e-07
"KARS",4.68276166498874e-10,1.22289368611376,0.28,0.121,1.53304251388401e-05
"ANXA2",4.01083407389263e-16,1.1907415567136,0.396,0.161,1.31306685911097e-11
"ISG15",4.3454509934421e-07,1.17277589278693,0.421,0.26,0.0142261374623308
"LGALS1",5.17702233370414e-12,1.13668778135597,0.37,0.179,1.69485357160806e-07
"ANXA1",1.11754975440404e-28,1.12093901505304,0.753,0.441,3.65863438596795e-24
"TRADD",1.88430904774301e-13,1.11489601810676,0.332,0.131,6.16885096050108e-09
"S100A4",7.93825581762393e-39,1.08096991541714,0.896,0.656,2.59882618957372e-34
"YWHAQ",3.23740022957674e-13,1.07716191806127,0.402,0.191,1.05986008715883e-08
"LIMS1",1.17640598271583e-09,1.05886464829132,0.258,0.107,3.8513179062151e-05
"GNB2",1.2060975201032e-06,1.0533531618608,0.268,0.139,0.0394852206131385
"CLIC1",3.0880498487308e-17,1.04377276104254,0.607,0.32,1.01096575947749e-12
"ALOX5AP",9.7876914934162e-15,1.01002571455756,0.348,0.137,3.2042944411146e-10
"TNFAIP8",2.96748051316228e-11,1.00782762444102,0.427,0.219,9.71493770399068e-07
"SRGN",8.57934446664386e-16,0.962585843076641,0.581,0.304,2.80870579148987e-11
"PLP2",1.91238752079207e-14,0.925228409473404,0.5,0.262,6.26077426556907e-10
"PDCD5",2.18238704413647e-07,0.886877341056074,0.287,0.147,0.00714469870509398
"ANXA5",2.96796621191043e-07,0.869877981320658,0.297,0.155,0.00971652778455238
"IFI44L",1.98805664879842e-07,0.866410385425413,0.3,0.155,0.00650849985683626
"SUB1",2.79924895170606e-09,0.859907820473313,0.392,0.217,9.1641812180953e-05
"CRIP1",9.57068610248192e-13,0.853388989438007,0.479,0.256,3.13325121623053e-08
"UBE2L3",7.67629537530661e-07,0.831735314962467,0.291,0.153,0.0251306557996788
"ZNHIT1",3.38504464195003e-08,0.830805381723593,0.297,0.145,0.0011081959148816
"P4HB",3.2045755437459e-09,0.80621874472451,0.27,0.115,0.000104911394151153
"TIMP1",7.83276816424246e-11,0.794155343974847,0.329,0.147,2.5642916416097e-06
"TXN",7.70807567294627e-08,0.784099744925987,0.291,0.145,0.00252346981380915
"KLF6",8.99403176397546e-22,0.782918070096599,0.755,0.439,2.94446611889029e-17
"PRDX1",7.13416387398659e-11,0.744088853281744,0.37,0.179,2.33558256906573e-06
"LDHA",6.52172743878699e-13,0.732266405705234,0.608,0.368,2.13508312891008e-08
"ARF1",6.59093387620017e-08,0.730269498531914,0.497,0.304,0.00215773993239041
"C1orf43",2.42421668327561e-07,0.721098941850676,0.268,0.131,0.00793640057770768
"NFKBIA",1.2511985637746e-08,0.713446868879272,0.465,0.288,0.000409617385808529
"SPOCK2",5.60758804620412e-08,0.709323140439875,0.409,0.237,0.0018358121745663
"S100A10",4.3120844638092e-13,0.704908160276558,0.747,0.495,1.41169021176186e-08
"SH3BGRL3",7.93428407337133e-19,0.693557579835746,0.902,0.698,2.59752591994031e-14
"ATP5C1",1.23524966514764e-07,0.691158935705238,0.369,0.207,0.00404396035376035
"PSMB9",3.61467295280639e-08,0.687647573965796,0.608,0.4,0.00118337163128976
"ANXA6",3.50393395689994e-07,0.676731243036609,0.37,0.211,0.011471178988099
"PSMB8",1.63604223626235e-07,0.655879166573778,0.451,0.274,0.00535607507307568
"DHRS7",1.04298473656432e-06,0.651106935021962,0.373,0.207,0.0341452343056426
"COTL1",1.00985574386372e-10,0.649388347431971,0.684,0.455,3.30606573426104e-06
"SAT1",2.12670939999551e-11,0.64139691017989,0.535,0.314,6.9624212337053e-07
"EMP3",2.16170033602693e-16,0.641185384024512,0.809,0.592,7.07697456008496e-12
"DYNLL1",3.17943362500847e-07,0.637912615252576,0.349,0.197,0.0104088298015527
"CD99",1.78004921630767e-11,0.63631667321268,0.602,0.362,5.82752512434805e-07
"GSTK1",4.15282572255092e-10,0.624699989811304,0.727,0.505,1.35955208504872e-05
"HSP90AA1",7.35572054697535e-08,0.614130074273488,0.634,0.453,0.00240811579266879
"CALM2",1.29278026892471e-10,0.604874335107231,0.595,0.372,4.23230404440573e-06
"VIM",1.59922825553005e-17,0.602887060209343,0.922,0.803,5.23555346295428e-13
"ARPC1B",6.04646863842136e-09,0.572359492247973,0.756,0.583,0.000197949290284639
"ZFP36",8.52144714792874e-10,0.563821236563836,0.777,0.59,2.78975136728891e-05
"IL7R",1.42823401174994e-11,0.558270730865286,0.756,0.547,4.67575250766694e-07
"LTB",2.79613897166615e-17,0.54992638338402,0.973,0.877,9.15399976544064e-13
"CD2",6.5890218604023e-08,0.539609150452719,0.601,0.402,0.0021571139766585
"XRCC5",1.47938070137451e-07,0.538190452632504,0.32,0.167,0.00484319654015988
"S100A6",6.6750209167466e-13,0.52891074337371,0.848,0.682,2.1852683477245e-08
"ATP6V0E1",4.09464551812335e-08,0.521902832805123,0.634,0.408,0.00134050504972322
"PPP1R18",1.39910432550496e-06,0.50704191360829,0.319,0.173,0.0458038774083813
"TSPO",4.93805538937799e-08,0.503794218877473,0.465,0.274,0.00161662057337457
"UBB",8.08984823965046e-08,0.503512808517277,0.857,0.706,0.00264845451669677
"IL32",2.45832818136043e-16,0.503017959865037,0.912,0.751,8.04807480013778e-12
"MYL6",5.28314431619036e-14,0.50228491484418,0.901,0.728,1.7295957862344e-09
"CCR7",1.73443051679638e-08,-0.794910555209878,0.314,0.437,0.000567817862588799
